ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600387.SH,20250117,2.72,2.77,2.67,2.75,2.71,0.04,1.476,35944.4,9788.691
600387.SH,20250116,2.69,2.74,2.67,2.71,2.69,0.02,0.7435,36017.0,9759.807
600387.SH,20250115,2.7,2.74,2.65,2.69,2.69,0.0,0.0,26523.3,7113.275
600387.SH,20250114,2.61,2.71,2.61,2.69,2.63,0.06,2.2814,29942.3,7998.962
600387.SH,20250113,2.57,2.68,2.51,2.63,2.58,0.05,1.938,24691.01,6475.433
600387.SH,20250110,2.68,2.71,2.57,2.58,2.68,-0.1,-3.7313,37910.0,9914.166
600387.SH,20250109,2.7,2.72,2.67,2.68,2.7,-0.02,-0.7407,18150.0,4892.262
600387.SH,20250108,2.74,2.76,2.65,2.7,2.75,-0.05,-1.8182,31758.0,8578.057
600387.SH,20250107,2.65,2.75,2.65,2.75,2.66,0.09,3.3835,25264.54,6810.232
600387.SH,20250106,2.71,2.75,2.61,2.66,2.75,-0.09,-3.2727,44592.0,11883.5
600387.SH,20250103,2.88,2.89,2.74,2.75,2.88,-0.13,-4.5139,43931.01,12324.588
600387.SH,20250102,2.84,2.93,2.84,2.88,2.89,-0.01,-0.346,40528.89,11685.77
600387.SH,20241231,2.93,2.99,2.88,2.89,2.92,-0.03,-1.0274,82673.72,24291.057
600387.SH,20241230,2.75,2.92,2.74,2.92,2.78,0.14,5.036,70913.56,20367.104
600387.SH,20241227,2.7,2.83,2.7,2.78,2.71,0.07,2.583,62392.0,17263.096
600387.SH,20241226,2.77,2.8,2.69,2.71,2.79,-0.08,-2.8674,77997.75,21408.852
600387.SH,20241225,2.76,2.87,2.76,2.79,2.9,-0.11,-3.7931,105883.8,29408.479
600387.SH,20241224,2.94,3.0,2.9,2.9,3.05,-0.15,-4.918,48280.0,14050.014
600387.SH,20241223,3.16,3.2,3.05,3.05,3.21,-0.16,-4.9844,28657.0,8808.997
600387.SH,20241220,3.18,3.25,3.18,3.21,3.19,0.02,0.627,33354.0,10720.942
600387.SH,20241219,3.2,3.24,3.14,3.19,3.22,-0.03,-0.9317,33119.0,10539.256
600387.SH,20241218,3.2,3.27,3.18,3.22,3.23,-0.01,-0.3096,32106.41,10365.835
600387.SH,20241217,3.38,3.42,3.23,3.23,3.4,-0.17,-5.0,46692.0,15335.765
600387.SH,20241216,3.42,3.44,3.34,3.4,3.41,-0.01,-0.2933,38798.1,13175.441
600387.SH,20241213,3.52,3.52,3.4,3.41,3.53,-0.12,-3.3994,60058.01,20667.294
600387.SH,20241212,3.52,3.61,3.49,3.53,3.51,0.02,0.5698,67038.43,23714.808
600387.SH,20241211,3.43,3.54,3.42,3.51,3.45,0.06,1.7391,68588.0,23818.511
