ts_code	trade_date	open	high	low	close	pre_close	change	pct_chg	vol	amount
000584.SZ	20241231	3.31	3.42	3.25	3.26	3.41	-0.15	-4.3988	225221.73	74958.833
000584.SZ	20241230	3.52	3.61	3.39	3.41	3.57	-0.16	-4.4818	206229.0	71068.258
000584.SZ	20241227	3.59	3.68	3.56	3.57	3.57	0.0	0.0	85657.0	30959.984
000584.SZ	20241226	3.53	3.62	3.51	3.57	3.59	-0.02	-0.5571	116037.15	41402.106
000584.SZ	20241225	3.65	3.76	3.55	3.59	3.65	-0.06	-1.6438	150109.0	54496.455
000584.SZ	20241224	3.52	3.69	3.46	3.65	3.61	0.04	1.108	177973.01	63704.178
000584.SZ	20241223	3.73	3.83	3.61	3.61	3.69	-0.08	-2.168	305913.52	114201.646
000584.SZ	20241220	3.69	3.69	3.63	3.69	3.51	0.18	5.1282	84064.16	31005.317
000584.SZ	20241219	3.6	3.65	3.48	3.51	3.66	-0.15	-4.0984	218925.51	77328.92
000584.SZ	20241218	3.69	3.84	3.63	3.66	3.68	-0.02	-0.5435	141284.0	52524.154
000584.SZ	20241217	3.83	3.86	3.68	3.68	3.87	-0.19	-4.9096	178575.0	66491.455
000584.SZ	20241216	3.81	3.93	3.81	3.87	3.85	0.02	0.5195	134881.75	52116.886
000584.SZ	20241213	3.95	3.99	3.8	3.85	3.99	-0.14	-3.5088	217673.25	84654.895
000584.SZ	20241212	3.94	4.06	3.82	3.99	3.93	0.06	1.5267	298772.29	117259.986
000584.SZ	20241211	3.73	3.93	3.69	3.93	3.74	0.19	5.0802	310121.15	119205.809
000584.SZ	20241210	3.87	3.95	3.62	3.74	3.81	-0.07	-1.8373	457276.64	172132.488
000584.SZ	20241209	4.1	4.12	3.81	3.81	4.01	-0.2	-4.9875	596498.61	232573.608
000584.SZ	20241206	3.82	4.01	3.82	4.01	3.82	0.19	4.9738	250769.44	99876.083
000584.SZ	20241205	3.82	3.82	3.7	3.82	3.64	0.18	4.9451	388589.82	147420.66
000584.SZ	20241204	3.55	3.64	3.5	3.64	3.47	0.17	4.8991	80866.79	29334.234
000584.SZ	20241203	3.53	3.56	3.43	3.47	3.53	-0.06	-1.6997	169681.96	59126.1
000584.SZ	20241202	3.42	3.55	3.35	3.53	3.42	0.11	3.2164	210157.71	72919.55
000584.SZ	20241129	3.48	3.55	3.35	3.42	3.42	0.0	0.0	199022.54	68369.114
000584.SZ	20241128	3.52	3.67	3.41	3.42	3.59	-0.17	-4.7354	291165.69	102163.208
000584.SZ	20241127	3.6	3.65	3.46	3.59	3.48	0.11	3.1609	436459.36	156766.057
