ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300630.SZ,20250117,3.33,3.33,2.96,2.97,3.34,-0.37,-11.0778,750874.43,233623.016
300630.SZ,20250116,3.4,3.46,3.31,3.34,3.43,-0.09,-2.6239,565840.17,191040.233
300630.SZ,20250115,3.63,3.69,3.35,3.43,3.63,-0.2,-5.5096,647439.06,228166.853
300630.SZ,20250114,3.62,3.75,3.49,3.63,3.7,-0.07,-1.8919,691480.34,250751.169
300630.SZ,20250113,3.48,3.86,3.46,3.7,3.52,0.18,5.1136,724962.8,262844.376
300630.SZ,20250110,3.59,3.97,3.52,3.52,3.96,-0.44,-11.1111,951408.26,349435.365
300630.SZ,20250109,3.95,4.38,3.95,3.96,4.94,-0.98,-19.8381,1336614.41,534780.185
300630.SZ,20250108,4.94,4.94,4.94,4.94,6.18,-1.24,-20.0647,7668.0,3787.992
300630.SZ,20250107,6.18,6.18,6.18,6.18,7.72,-1.54,-19.9482,5607.0,3465.126
300630.SZ,20250103,6.81,7.87,6.55,7.72,6.81,0.91,13.3627,698247.87,512680.236
300630.SZ,20250102,6.78,7.09,6.72,6.81,6.81,0.0,0.0,287239.04,197922.44
300630.SZ,20241231,6.54,6.96,6.54,6.81,6.55,0.26,3.9695,347348.62,235587.773
300630.SZ,20241230,6.89,6.95,6.53,6.55,6.87,-0.32,-4.6579,282422.94,187612.482
300630.SZ,20241227,6.94,7.08,6.8,6.87,6.96,-0.09,-1.2931,259920.09,180838.665
300630.SZ,20241226,6.81,7.23,6.81,6.96,6.98,-0.02,-0.2865,334981.8,233691.184
300630.SZ,20241225,7.59,7.72,6.74,6.98,7.78,-0.8,-10.2828,458344.24,330978.634
300630.SZ,20241224,7.68,8.59,7.46,7.78,8.04,-0.26,-3.2338,587437.89,471014.676
300630.SZ,20241223,7.0,8.31,6.7,8.04,7.01,1.03,14.6933,667249.48,500813.845
300630.SZ,20241220,6.65,7.12,6.52,7.01,6.79,0.22,3.2401,458236.13,315216.603
300630.SZ,20241219,7.4,7.4,6.78,6.79,7.55,-0.76,-10.0662,552775.88,385993.934
300630.SZ,20241218,7.33,7.76,7.33,7.55,8.1,-0.55,-6.7901,429675.95,322686.486
300630.SZ,20241217,8.8,8.88,8.06,8.1,8.9,-0.8,-8.9888,397492.5,332447.829
300630.SZ,20241216,9.01,9.14,8.87,8.9,9.01,-0.11,-1.2209,166073.63,149303.347
300630.SZ,20241213,9.12,9.12,9.0,9.01,9.18,-0.17,-1.8519,178506.12,161563.182
300630.SZ,20241212,9.12,9.2,9.04,9.18,9.15,0.03,0.3279,196575.9,179828.418
300630.SZ,20241211,9.28,9.28,9.07,9.15,9.41,-0.26,-2.763,298615.71,273140.866
300630.SZ,20241210,9.88,9.88,9.39,9.41,9.69,-0.28,-2.8896,383530.08,367743.839
300630.SZ,20241209,9.54,9.89,9.54,9.69,9.56,0.13,1.3598,262326.82,255266.799
300630.SZ,20241206,9.47,9.66,9.36,9.56,9.57,-0.01,-0.1045,243385.14,231406.447
300630.SZ,20241205,9.36,9.59,9.01,9.57,9.34,0.23,2.4625,320847.0,299129.582
300630.SZ,20241204,10.28,10.38,9.28,9.34,10.57,-1.23,-11.6367,616458.22,597822.721
300630.SZ,20241203,10.04,11.0,10.04,10.57,11.69,-1.12,-9.5808,666327.94,705185.799
300630.SZ,20241202,10.74,11.98,10.74,11.69,10.74,0.95,8.8454,590528.62,683622.054
300630.SZ,20241129,10.82,10.82,10.54,10.74,10.88,-0.14,-1.2868,220523.6,235455.45
300630.SZ,20241128,10.35,10.9,10.28,10.88,10.4,0.48,4.6154,287483.77,305837.3
300630.SZ,20241127,10.28,10.42,10.02,10.4,10.43,-0.03,-0.2876,185106.6,188511.129
